complaint,station,category,priorityLevel
Main Gate: Additional lighting is needed around the security checking area at night.,Main Gate,Security,High
The internet connection in the library is slow during study hours.,Library,Technical Issues,Low
Some parts of the volleyball court flooring are loose and may cause students to trip.,Pedestrian,Infrastructure,Medium
The CCTV camera near the main gate is not functioning properly.,Main Gate,Security,High
The badminton court flooring has worn-out areas that need repair.,Pedestrian,Infrastructure,Medium
Air circulation in the indoor sports area is poor and the hall feels stuffy.,Pedestrian,Infrastructure,Medium
Pedestrian Area: Several badminton rackets are worn out and should be replaced.,Pedestrian,Athletics And Sports,Low
Library: Important reference books are unavailable when students need them for academic work.,Library,Academic Support And Resources,Low
Main Gate: Students are sometimes unclear about the entry requirements because instructions are not communicated consistently.,Main Gate,Security,Medium
Pedestrian Area: The storage cabinet for badminton equipment is damaged and difficult to use.,Pedestrian,Infrastructure,Medium
Students walking through the main gate have difficulty crossing because of moving vehicles.,Main Gate,Safety,High
Main Gate: The entrance becomes difficult to access because of congestion during peak hours.,Main Gate,Student Affairs,Medium
Library: Some reading lamps in the study area are not functioning.,Library,Infrastructure,Medium
Frequently used sports equipment needs servicing because some items are becoming difficult to use.,Pedestrian,Athletics And Sports,Low
The library printer is not working when students need to print academic documents.,Library,Technical Issues,Medium
Library: Students are talking loudly in the study area and it is difficult to concentrate.,Library,Student Affairs,Low
Water is leaking from the ceiling of the indoor sports hall during rain.,Pedestrian,Infrastructure,High
Water remains on the volleyball court after rain because drainage is not adequate.,Pedestrian,Infrastructure,Medium
Main Gate: The entrance becomes littered after campus events and needs immediate cleaning.,Main Gate,Cleanliness,Low
There are not enough security personnel during peak hours at the main gate.,Main Gate,Security,High
Rainwater accumulates near the volleyball court and makes the area difficult to use.,Pedestrian,Infrastructure,Medium
The security cabin at the main gate requires general maintenance.,Main Gate,Infrastructure,Medium
Some library shelves are damaged and require repair.,Library,Infrastructure,Low
The indoor sports hall becomes very hot during practice because ventilation is not adequate.,Pedestrian,Infrastructure,Medium
Library: Several study tables have damaged surfaces and need maintenance.,Library,Infrastructure,Low
The lights around the volleyball court are insufficient during evening practice.,Pedestrian,Infrastructure,Medium
Students waiting near the main gate need better shelter from sun and rain.,Main Gate,Infrastructure,Low
There are not enough chairs and study seats available in the library during busy hours.,Library,Academic Support And Resources,Low
The changing area near the indoor sports hall is not cleaned regularly.,Pedestrian,Cleanliness,Low
The door of the indoor sports hall is damaged and does not close properly.,Pedestrian,Infrastructure,Medium
The indoor sports area has several small maintenance issues that should be inspected and fixed.,Pedestrian,Infrastructure,Medium
The badminton court needs brighter lighting for proper visibility.,Pedestrian,Infrastructure,Medium
The road surface near the main gate has potholes and needs repair.,Main Gate,Infrastructure,Low
One of the library computers is not starting and needs technical support.,Library,Technical Issues,Medium
Improper parking near the main gate causes congestion during busy hours.,Main Gate,Student Affairs,Medium
Pedestrian Area: Students are facing a shortage of usable shuttlecocks during practice.,Pedestrian,Athletics And Sports,Medium
The drinking water facility near the library is not working properly.,Library,Student Affairs,Medium
The library has poor air circulation in the afternoon.,Library,Infrastructure,Low
Library: The online catalog does not always show the correct availability of books.,Library,Technical Issues,Low
The indoor sports hall floor is dusty and needs regular cleaning before students use it.,Pedestrian,Cleanliness,Low
There is no clearly marked place for reporting or collecting items left in the library.,Library,Student Affairs,Low
Pedestrian Area: A section of fencing around the volleyball area is damaged and needs repair.,Pedestrian,Infrastructure,Medium
The lights above the badminton court are not working properly.,Pedestrian,Infrastructure,Medium
Dust and dirt are collecting on the volleyball court and it needs proper cleaning.,Pedestrian,Cleanliness,Low
The computers provided in the library are very slow and affect student work.,Library,Technical Issues,Low
Bicycles are being parked randomly near the main gate and blocking the pathway.,Main Gate,Student Affairs,Low
Traffic direction signs near the main gate are insufficient.,Main Gate,Safety,High
Pedestrian Area: There are not enough usable badminton rackets available for students.,Pedestrian,Athletics And Sports,Medium
Some commonly used indoor sports equipment is missing from the storage area.,Pedestrian,Athletics And Sports,Low
There is a long queue of vehicles while leaving through the main gate.,Main Gate,Student Affairs,Medium
Pedestrian Area: Volleyballs and nets are not being stored properly after practice.,Pedestrian,Athletics And Sports,Low
The volleyball poles do not appear stable and need to be checked before the court is used.,Pedestrian,Athletics And Sports,Medium
Visitor entry at the main gate needs a clearer and faster verification process.,Main Gate,Security,Medium
ID checking at the main gate takes too long during busy periods.,Main Gate,Security,Medium
Dust from vehicles is making the area around the main gate uncomfortable.,Main Gate,Cleanliness,Medium
Pedestrian Area: Water enters the badminton area through the ceiling when it rains.,Pedestrian,Infrastructure,Medium
Pedestrian Area: The volleyball equipment is old and some items need to be replaced.,Pedestrian,Athletics And Sports,Low
The library entrance door does not close properly and needs repair.,Library,Infrastructure,Low
The pedestrian path near the main gate has uneven sections and needs repair.,Main Gate,Infrastructure,Medium
Students using the indoor sports hall do not have convenient access to drinking water.,Pedestrian,Student Affairs,Low
The volleyball court should be inspected regularly for damaged equipment and unsafe surfaces.,Pedestrian,Athletics And Sports,High
The library closes before many students can complete their evening study sessions.,Library,Academic Support And Resources,Low
Pedestrian Area: There are not enough usable volleyballs available for students during practice.,Pedestrian,Athletics And Sports,Medium
Students are unable to access some online library resources from the library computers.,Library,Technical Issues,Low
The air conditioning in the library is not working properly and the room becomes uncomfortable.,Library,Infrastructure,Medium
"Library: Several books are not kept in their proper sections, making them difficult to find.",Library,Academic Support And Resources,Low
Library: The book return process is slow and students have to wait for a long time.,Library,Academic Support And Resources,Low
The badminton court floor becomes slippery and requires proper maintenance.,Pedestrian,Infrastructure,Medium
The floor in the indoor sports area becomes slippery and needs proper cleaning and maintenance.,Pedestrian,Infrastructure,Medium
There is heavy crowding near the main gate during college opening and closing hours.,Main Gate,Student Affairs,Medium
Library: The computer section needs additional working charging points for devices.,Library,Technical Issues,Low
Pedestrian Area: The support for the badminton net is loose and needs to be fixed.,Pedestrian,Athletics And Sports,Medium
Pedestrian Area: The volleyball net setup is difficult to adjust and needs maintenance.,Pedestrian,Athletics And Sports,Low
The volleyball court is sometimes occupied without following the allotted practice schedule.,Pedestrian,Athletics And Sports,Low
Library: The reference section becomes too crowded during examination time.,Library,Academic Support And Resources,Low
The markings on the indoor sports court have faded and should be repainted.,Pedestrian,Infrastructure,Medium
The badminton court is dusty and needs cleaning before practice sessions.,Pedestrian,Cleanliness,Low
The library floor and study tables need more regular cleaning.,Library,Cleanliness,Low
Students are concerned about belongings being left unattended in the library.,Library,Student Affairs,High
Road and pedestrian markings near the main gate have faded and should be repainted.,Main Gate,Infrastructure,Medium
"Some vehicles move too quickly near the main gate, creating a safety concern.",Main Gate,Safety,High
Several benches near the indoor sports area are damaged and need repair.,Pedestrian,Infrastructure,Medium
"The indoor sports area timetable is not clearly displayed, causing confusion among students.",Pedestrian,Athletics And Sports,Low
Security checking at the main gate creates long queues during peak hours.,Main Gate,Student Affairs,Medium
Some indoor sports equipment is damaged and should be repaired or replaced.,Pedestrian,Athletics And Sports,Low
The indoor sports area is not bright enough for comfortable practice.,Pedestrian,Infrastructure,Medium
The playing surface of the volleyball court has become uneven and should be resurfaced.,Pedestrian,Infrastructure,Medium
Some library chairs are broken and need to be repaired or replaced.,Library,Infrastructure,Medium
Rainwater collects near the main gate and makes the entrance difficult to use.,Main Gate,Infrastructure,Low
Sports equipment is being kept outside its storage area and the equipment section needs better organization.,Pedestrian,Athletics And Sports,Low
Library: Study chairs and tables need to be cleaned more frequently.,Library,Cleanliness,Low
Main Gate: Visitors are parking close to the entrance and causing obstruction.,Main Gate,Student Affairs,Low
Main Gate: Garbage is accumulating near the entrance and should be removed regularly.,Main Gate,Cleanliness,Low
Pedestrian Area: The badminton practice schedule is not displayed clearly for students.,Pedestrian,Athletics And Sports,Low
The badminton courts are often overcrowded and students have to wait for a long time.,Pedestrian,Athletics And Sports,Medium
The area near the library emergency exit should be kept clear of stored items.,Library,Safety,High
The badminton court markings are faded and need repainting.,Pedestrian,Athletics And Sports,Low
Signs for different library sections are not clear and students have difficulty locating books.,Library,Academic Support And Resources,Low
Several fans in the library are not working properly.,Library,Infrastructure,Medium
Main Gate: A pothole close to the main entrance is creating difficulty for two-wheelers and pedestrians.,Main Gate,Infrastructure,Medium
The library study area becomes overcrowded during examination periods.,Library,Academic Support And Resources,Low
The drain near the main gate appears blocked and needs cleaning.,Main Gate,Cleanliness,Low
Some electrical fittings in the library appear damaged and need inspection.,Library,Infrastructure,Medium
Pedestrian Area: The badminton net is damaged and has holes that affect the game.,Pedestrian,Athletics And Sports,Low
The badminton court has several maintenance issues and should be inspected.,Pedestrian,Infrastructure,Medium
The library ceiling has visible maintenance issues that should be inspected.,Library,Infrastructure,Low
Pedestrian Area: The badminton area has poor ventilation and becomes uncomfortable during practice.,Pedestrian,Infrastructure,Medium
Library: There are not enough study tables for students during examination preparation.,Library,Academic Support And Resources,Low
Main Gate: The street light near the main entrance is not providing sufficient illumination.,Main Gate,Infrastructure,Low
Entry and exit signs at the main gate are not clearly visible.,Main Gate,Infrastructure,Low
There are not enough benches for students waiting to use the badminton court.,Pedestrian,Infrastructure,Medium
There are not enough working charging points available in the library.,Library,Technical Issues,Medium
There are not enough seats near the volleyball court for students waiting for practice.,Pedestrian,Infrastructure,Medium
Main Gate: Separate queues for pedestrians and vehicles would help reduce congestion at the entrance.,Main Gate,Student Affairs,Medium
Pedestrian Area: Some badminton equipment listed for student use is currently unavailable.,Pedestrian,Athletics And Sports,Medium
Some lights in the library are not working and the study area is too dark.,Library,Infrastructure,Medium
Emergency vehicle access near the main gate should be kept clear at all times.,Main Gate,Safety,High
Pedestrian Area: Garbage is sometimes left near the volleyball playing area after practice.,Pedestrian,Cleanliness,Low
The volleyball practice schedule is not being followed consistently and students are confused about court availability.,Pedestrian,Athletics And Sports,Low
Students are experiencing delays at the main gate because the entry process is slow.,Main Gate,Student Affairs,Low
The main gate does not open and close smoothly and needs maintenance.,Main Gate,Infrastructure,Low
The lights inside the indoor sports area keep flickering and make it difficult to play.,Pedestrian,Infrastructure,Medium
The area beside the badminton courts is not cleaned regularly.,Pedestrian,Cleanliness,Low
Pedestrian Area: The volleyball net is torn and should be replaced.,Pedestrian,Athletics And Sports,Low
The fans in the indoor sports area are not working properly and the hall becomes uncomfortable.,Pedestrian,Infrastructure,Medium
The boundary lines of the volleyball court are faded and difficult to see.,Pedestrian,Athletics And Sports,Low
The lights near the main gate are not working properly at night.,Main Gate,Infrastructure,Medium
Several pieces of furniture in the library require general maintenance.,Library,Infrastructure,Low
Main Gate: The main entrance signboard is damaged and needs repair.,Main Gate,Infrastructure,Low
The photocopy facility near the library is frequently unavailable.,Library,Technical Issues,Medium
Some power sockets in the library are not working for students using laptops.,Library,Technical Issues,Medium
There is not enough space for students waiting near the main gate.,Main Gate,Infrastructure,Low
The fan inside the main gate security area is not working properly.,Main Gate,Infrastructure,Medium
The volleyball court surface has damaged patches and needs repair.,Pedestrian,Athletics And Sports,Low
The washroom near the library needs better cleaning and regular maintenance.,Library,Cleanliness,Low
Vehicle movement near the main gate becomes difficult during peak arrival times.,Main Gate,Student Affairs,Medium
Too many students are using the indoor sports area at the same time and practice becomes difficult.,Pedestrian,Athletics And Sports,Medium
Students have to wait too long during library registration and account-related work.,Library,Academic Support And Resources,Low
The area around the main gate is not cleaned regularly and garbage is visible.,Main Gate,Cleanliness,Low
"There are maintenance and facility issues at several places on campus. The library needs better maintenance and seating arrangements, the main gate area needs cleaning and repair, and the MPH (badminton and volleyball areas) and indoor sports facilities also need proper maintenance. Please inspect these areas and resolve the issues as soon as possible.",Library,Infrastructure,Low
"Hostel: Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Hostel,Mess/Food,Low
"Library: Dustbins are placed only at entrances not inside labs or near study areas. Students have to walk too far, so they dump waste nearby instead.",Library,Cleanliness,Low
The classroom windows are broken.,Classroom,Infrastructure,Medium
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Hostel,Mess/Food,Low
Pedestrian Area: Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Pedestrian,Infrastructure,Medium
"Hostel: Sometimes the food in the canteen is not covered. Flies are flying around, and the staff does not seem to care. This is a health hazard.",Hostel,Mess/Food,Low
"The AC in classroom 202 has been out of order for 2 months. During summer, it is difficult to sit even for an hour without AC. Please get it repaired already.",Classroom,Technical Issues,Low
Library: The printer is out of order.,Library,Technical Issues,Low
"The Wi-Fi password keeps changing without notice. One day it suddenly disconnects during class while the teacher is explaining something, and we are left without internet.",Classroom,Technical Issues,Low
Pedestrian Area: no soap dispenser in washroom.,Pedestrian,Infrastructure,Low
Pedestrian Area: There is no transport facility in the college.,Pedestrian,Other,Low
Classroom: No dustbins inside lab rooms. Students have to walk to corridor to throw waste. Add dustbins inside labs please.,Classroom,Infrastructure,Low
"The mess management really needs to step up. Food quality has been consistently bad for over a month now. No nutrition, excess oil, same boring menu every day. For students who stay far and depend entirely on college food, this is a serious problem. We're paying full fees for this college the least they can do is provide edible food. The seating arrangement is also pathetic. During lunch break it feels like a fish market. Please take this seriously.",Hostel,Mess/Food,Medium
Classroom: There are so many assignments in college that there is no time at all for self-study. They do not provide any opportunity to develop skills.,Classroom,Academics,Low
"A faculty member calls on students who seem distracted and mocks them sarcastically. 'You are a celebrity, should we wait for you?' This is demeaning.",Classroom,Ragging,Medium
The teacher's behavior with students is very bad.,Classroom,Ragging,Medium
